Trading Name,Trading Code,RIC,Mkt Cap ($M),Tot. Rev ($M),P/E,Yield (%),Sector,GTI Score,4-wk %Pr. Chg.,13-wk %Pr. Chg.,26-wk %Pr. Chg.,52-wk %Pr. Chg.,Net Profit %,ROE %,Price/CF,Debt/Equity,1-yr %Rev. Chg.,Price/Book Value
SingReinsurance,S49,SPRS.SI,175.514,107.943,17.88,4.48,Insurance,58,5.45,1.75,0,0,9.09,3.66,17.3,0,-6.74,0.65
SingShipping,S19,SSHP.SI,107.07,66.539,7.41,4.08,Industrial Goods,64,6.52,-14.04,-15.52,-12.5,21.2,11.06,4.16,72.54,-0.81,0.96
Singtel,Z74,STEL.SI,40659.461,16542.301,37.89,4.92,Telecommunications Services,129,-12.01,-17,-26.33,-22.19,6.36,3.8,11.19,35.74,-4.77,1.65
Singtel 10,Z77,,,,,,,,,,,,,,,,,
Sinjia Land,5HH,SINJ.SI,2.113,0.681,,,Cyclical Consumer Services,60,0,-21.43,-47.62,57.14,-618.21,-44.55,,1.55,29.47,0.18
Sino Grandness,T4B,SOGF.SI,19.54,597.27,0.38,,Food & Beverages,35,-5.56,-26.09,-58.54,-66.67,7.41,6.6,0.28,28.46,-9.99,0.19
SinoCloud,5EK,SINL.SI,14.311,7.545,,,Software & IT Services,42,0,0,0,0,-274.4,-53.96,,10.2,-20.26,0.32
Sinopipe,X06,SPHL.SI,41.822,0,,,Cyclical Consumer Products,36,,,,,,,,,,
Sinostar Pec,C9Q,SNSR.SI,95.36,687.311,5.86,3.36,Energy - Fossil Fuels,69,-5.7,-5.7,-29.05,-21.99,2.78,10.24,1.59,149.65,27.82,0.85
Sitra,5LE,SITR.SI,20.881,16.435,,,Applied Resources,61,54.55,21.43,41.67,41.67,-5.83,-7.43,,14.27,18.91,0.56
SK Jewellery,42G,SKJE.SI,47.813,138.774,7.37,5.88,Retailers,67,6.25,3.66,-13.27,-10.53,4.6,10.42,1.58,67.97,4.34,0.99
SLB Dev,1J0,SLBD.SI,105.908,37.939,30.05,,Real Estate,84,-3.33,-10.77,-4.92,-18.88,6.18,2.31,41.55,61.42,-66.91,1.02
Soilbuild Const,S7P,SOIL.SI,34.491,236.764,,,Industrial & Commercial Services,77,-2.38,-31.67,-31.67,-38.81,-3.86,-11.38,,65.31,13.51,0.81
SoilbuildBizReit,SV3U,SBSR.SI,492.922,89.883,17.08,,Real Estate,64.5,2.63,-21.21,-25.71,-34.91,27.91,3.3,,70.94,3.31,0.9
Soon Lian,5MD,SNLN.SI,5.94,31.139,7.31,,Mineral Resources,53,243.75,5.77,7.84,-8.33,2.61,2.79,3.28,29.35,-7.52,
Soup Restaurant,5KI,SRGL.SI,32.835,43.19,40.29,1.82,Cyclical Consumer Services,62,0,-20.29,-26.67,-37.14,1.76,7.26,3.26,0.15,-1.57,4.05
Southern Pkg,BQP,SOUT.SI,15.822,140.658,8.65,,Applied Resources,50,0,-25,-40.79,,1.3,1.67,1.08,51.14,-2.08,0.26
SP Corp,AWE,SPPS.SI,13.162,93.076,5.26,,Industrial & Commercial Services,75,4.17,-20.21,-26.47,-29.91,2.69,4.58,5.18,0,-31.75,0.3
Spackman,40E,SPAC.SI,12.056,28.48,,,Cyclical Consumer Services,68,11.11,-23.08,-28.57,-41.18,-17.09,-6.08,,9.51,-7.29,0.33
SPH,T39,SPRM.SI,2048.831,953.046,9.94,5.47,Cyclical Consumer Services,110,-15.79,-32.28,-41.55,-45.05,27.46,5.58,6.74,59.38,-1.52,1.15
SPHREIT,SK6U,SPHR.SI,2290.608,250.112,13.2,4.54,Real Estate,83.5,1.84,-17.82,-21.7,-20.19,68.95,6.19,13.27,45.07,15.44,1.1
Spindex Ind,564,SNEX.SI,92.292,158.049,6.42,4.13,Industrial Goods,51,6.67,-14.44,-18.37,-5.88,9.09,12.34,3.87,0,1.17,0.92
Spura Finance,S23,SBDS.SI,123.775,30.293,16.54,2.56,Banking & Investment Services,72,6.85,-9.83,-11.86,-14.29,35.29,2.9,14.32,0,9.1,0.55
Sri Trang Agro,NC2,,,,,,,61,,,,,,,,,,
ST Engineering,S63,STEG.SI,9960.76,7868.276,17.32,4.7,Industrial Goods,100,-7,-23.5,-22.76,-18.41,7.53,25.87,10.37,22.07,17.47,4.85
ST Group Food,DRX,STGR.SI,46.248,52.917,25.44,2.44,Cyclical Consumer Services,,-6,-23.27,-29.06,,4.12,10.69,6.56,23.14,,
Stamford Land,H07,SFLD.SI,274.037,203.777,8.64,2.86,Cyclical Consumer Services,70,-5.41,-25.53,-30,-26.32,16.9,6.61,6.14,20.7,-54.05,0.82
Stamford Tyres,S29,STAS.SI,44.516,220.411,,5.32,Automobiles & Auto Parts,62,-1.05,-8.29,-20,-30.37,-0.18,-0.33,5.65,74.96,-12.59,0.58
Starburst,40D,STAB.SI,88.811,9.244,,0.71,Industrial & Commercial Services,67,2.94,-14.63,-5.41,-7.89,-25.79,-10.01,,61.81,29.27,3.72
StarhillGbl Reit,P40U,STHL.SI,1062.697,195.262,18.63,7.55,Real Estate,84,-3,-28.15,-32.64,-34.9,29.15,2.95,18.56,57.49,-5.2,0.81
StarHub,CC3,STAR.SI,2355.046,2330.6,12.68,6.62,Telecommunications Services,101,-8.72,-8.72,-2.86,-9.33,7.66,36.31,4.24,202.46,-1.33,5.97
Starland,5UA,STHO.SI,23.157,5.879,75.81,18.75,Real Estate,62,92.77,6.67,73.91,0,5.2,0.98,75.17,6.08,-55.83,0.37
Straco,S85,STRA.SI,438.809,108.835,11.45,4.95,Cyclical Consumer Services,54,-3.81,-7.34,-25.19,-32.67,37.05,13.32,8.56,13.37,-7.67,2.1
Straits Trading,S20,STCM.SI,636.629,363.637,7.53,3.85,Mineral Resources,51,-3.7,-23.53,-25,-28.11,27.6,5.65,5.87,58.92,-20.25,0.57
StratechGroup,BRR,STRT.SI,10.692,5.513,,,Software & IT Services,,,,,,-124.34,,,,-15.91,
SunMoonFood,AAJ,SMFC.SI,34.524,36.391,,,Food & Beverages,40,29.41,12.82,-8.33,76,-8.93,-34.51,,0.86,-46.88,2.63
Sunningdale Tech,BHQ,SUND.SI,189.063,673.79,23.93,8.12,Industrial Conglomerates,58,-2.48,-18.6,-23.05,-23.05,1.19,2.13,4.25,28.77,-7.29,0.72
Sunpower,5GD,SUNP.SI,352.372,687.496,4.41,0.43,Industrial Goods,47,7.23,-15.24,-16.04,-10.1,11.8,22.77,3.21,167.71,0.37,1.41
Sunright,S71,SNRT.SI,39.298,124.277,,0.94,Technology Equipment,37,-5.88,-30.43,-27.27,-20.99,0.89,-0.58,1.53,36.67,-14.16,0.73
Sunrise Shares,581,SUNR.SI,3.977,1.421,,,Real Estate,57,26.67,26.67,-26.92,-48.65,-11.4,-3.62,,7.15,-70.69,0.62
Suntar Eco-City,BKZ,SECL.SI,28.242,0.645,,,,36,9.76,52.54,50,350,-1.17,-0.04,71184.87,0,-63.98,
Suntec Reit,T82U,SUNT.SI,4139.999,366.73,11.45,5.15,Real Estate,80.3,5,-13.53,-20.11,-18.78,107.73,6.73,10.46,61.95,0.89,0.84
SunVic Chemical,A7S,SVCH.SI,11.66,158.453,,,Chemicals,39,,,,,-119.11,-205.78,,74.13,-66.76,0.05
SUTL Enterprise,BHU,SUTL.SI,32.855,20.868,13.23,5.26,Cyclical Consumer Services,56,2.7,-14.61,-26.21,-30.28,8.6,4.3,4.31,0,4.97,0.87
Swee Hong,QF6,SWEE.SI,9.696,13.141,,,Industrial & Commercial Services,52,0,0,0,0,-454.86,,,214.03,-59.91,1.38
Swiber,BGK,SWBR.SI,52.605,1218.076,,,Energy - Fossil Fuels,35,,,,,-2.21,-4.97,1.04,192.3,24.21,0.2
Swing Media Tech,BEV,SWMT.SI,26.848,207.938,,,Technology Equipment,50,,,,,6.53,4.97,0.6,20.46,2.19,0.09
Swissco Hldg,ADP,SWCO.SI,37.719,50.131,,,Energy - Fossil Fuels,22,,,,,-890.84,-334.88,,82.09,-58.25,0.45
Synagie,V2Y,SYNA.SI,33.343,19.361,,,Software & IT Services,,3.81,3.81,-7.41,53.04,-43.65,-126.33,,0,20.62,4.75
Sysma,5UO,SYSM.SI,35.757,32.727,,7.3,Industrial & Commercial Services,48,-1.44,-9.87,-23.03,-12.18,-6.48,-3.84,,1.34,4.01,0.67
TA,PA3,TACO.SI,77.71,198.221,,,Real Estate,65,-2.6,-6.25,-5.66,-30.23,-5.44,-6.61,,216.46,33.19,0.68
Tai Sin Electric,500,TAIS.SI,131.952,329.301,8.46,7.89,Industrial Goods,80,-3.39,-8.06,-13.64,-12.31,4.71,8.63,6.07,25.69,-1.98,0.85
TalkMed,5G3,TALK.SI,560.173,75.919,15.63,5.41,Healthcare Services,64,3.66,-15,-16.67,-19.81,43.21,45.58,15.46,0,23.89,10.69
Tat Seng Pkg,T12,TASE.SI,67.596,,,4.65,Applied Resources,59,-4.44,-10.42,-19.63,-12.24,,,,67.76,,0.75
TCIL HK$,T15,0693.HK,3724.622,14533.351,17.49,5.95,Retailers,,0.54,-9.31,-11.48,-26,2.14,1.91,4.12,31.07,-7.62,0.44
Tech Oil & Gas,5CQ,TECH.SI,17.489,65.026,,,Energy - Fossil Fuels,24,,,,,-9.13,-7.26,11.64,154.58,-16.52,2.44
Teckwah,561,TECK.SI,103.93,174.459,11.59,3.37,Industrial & Commercial Services,53,1.14,-5.32,-1.11,11.25,6.25,5.87,3.42,2.81,8.11,0.69
TEE Intl,M1Z,TEEI.SI,16.204,362.393,,,Industrial & Commercial Services,86,4.17,-43.18,-50.98,-60.32,-16.69,-67.85,,316.71,31.36,0.75
Teho Intl,5OQ,TEHO.SI,2.825,57.721,9.45,,Industrial Goods,68,-7.69,-50,-20,,0.51,2.17,1.87,249.09,-10.26,0.36
TeleChoice Intl,T41,TCIN.SI,89.067,313.626,16.77,5.1,Technology Equipment,66,-0.51,-2,-2,-4.39,1.72,7.52,8.16,30.13,-36.22,1.41
ThaiBev,Y92,TBEV.SI,15822.897,11643.883,15.06,2.7,Food & Beverages,72,-8.7,-19.23,-29.21,-22.22,10.17,18.04,10.7,178.42,0.99,3.95
Thakral,AWI,THAK.SI,54.961,107.871,6.05,9.52,Real Estate,66,-1.18,-2.33,-7.69,-19.23,18.55,6.79,2.48,33.56,-31.35,0.43
The Place Hldg,E27,THEP.SI,76.449,2.293,1300,,Cyclical Consumer Services,68,-18.75,-7.14,-35,-48,3.49,0.09,117.98,0,27.53,1.96
TheHourGlass,AGS,HRGS.SI,451.208,755.532,5.79,4.69,Retailers,70,3.23,-11.72,-21.47,-14.67,10.47,13.78,4.27,5.29,5.59,0.82
Thomson Medical,A50,THOS.SI,1507.138,229.818,1900,,Healthcare Services,63,-6.56,3.64,-1.72,3.64,1.37,0.08,71.53,80.99,6.59,2.68
Tianjin ZX USD,T14,TIAN.SI,1401.49,958.374,6.59,,,58,1.39,0.69,-12.57,-17.51,8.99,12.19,14.34,9.45,12.54,0.81
TIH,T55,TIHL.SI,55.588,-11.48,,4.35,Banking & Investment Services,58,4.55,0,-2.13,-14.81,,-14.11,,0.27,-260.31,0.55
Tiong Seng,BFI,TISE.SI,68.944,405.55,6.29,3.33,Industrial & Commercial Services,74,0,-25,-25,-34.78,2.47,3.97,2.07,40.95,6.98,0.46
Tiong Woon,BQM,TION.SI,88.249,136.473,8.99,0.53,Industrial Goods,39,-5,-19.15,-16.48,33.33,7.17,3.83,2.16,41.87,32.56,0.26
TLV,42L,TLVH.SI,28.275,113.508,8.22,4.38,Retailers,72,4.17,-16.67,-18.03,-41.18,2.95,3.28,4.62,20.2,-2.94,0.51
Top Global,BHO,TPGB.SI,61.16,58.394,111.11,,Real Estate,54,-3.06,5.56,3.83,3.26,9.17,0.21,6.01,7.55,-26.84,
Top Glove,BVA,TPGC.KL,34683.281,4818.086,89.08,0.56,Healthcare Services,,83.2,135.82,195.56,164.94,7.82,11.65,59.04,87.23,1.52,4.66
Tosei,S2D,8923.T,52088.406,67136.828,5.12,3.92,Real Estate,,6.04,-7.83,-19.53,17.43,14.89,17.84,4.76,154.1,11.35,0.94
Transcorp,T19,TCHL.SI,1.347,1.554,,,Automobiles & Auto Parts,4,0,0,0,-37.5,-196.65,-106.75,,69.87,-59.32,0.81
Transit Concrete,570,TMCL.SI,5.637,8.671,,,Mineral Resources,51,0,-22.86,32.79,-49.06,-39.47,-23.46,,0.6,24.08,1.03
Travelite,BCZ,TRHL.SI,6.942,44.306,,,Retailers,62,0,-14.73,-2.65,-2.65,-0.16,-0.61,3.29,46.61,12.39,0.5
Trek 2000 Intl,5AB,TRKL.SI,18.151,41.508,,,Technology Equipment,-1,1.82,-22.22,-16.42,-33.33,-3.92,-2.67,,0,12.74,0.52
Trendlines,42T,THET.SI,86.24,7.795,,,Banking & Investment Services,77,1.87,3.81,25.29,34.57,-12.64,-0.51,733.11,3.46,-11.8,0.49
TrickleStar,CYW,TRIC.SI,24.538,20.586,63.37,,Industrial Goods,,-6.25,-34.78,-14.29,,1.21,,54.71,,13.11,
Tritech,5G9,TTGL.SI,15.118,34.778,,,Industrial & Commercial Services,71,6.67,-11.11,-52.94,-48.39,-15.57,-11.8,,60.34,9.97,0.53
Triyards,RC5,TRIY.SI,28.575,164.702,,,Energy - Fossil Fuels,46,,,,,-139.81,-114.28,,67.12,-64.23,0.28
TSH,KUH,TSHC.SI,4.879,7.802,7.98,,Cyclical Consumer Services,,-21.43,-45,-43.3,-48.84,7.63,9.63,2.46,1.39,18.62,
TT Intl,T09,TINL.SI,15.189,85.576,,,Retailers,20,,,,,-40.89,,,,-39.48,
TTJ,K1Q,TTJH.SI,55.3,85.146,16.93,2.53,Industrial & Commercial Services,40,38.6,-12.22,-24.76,-43.57,2.93,2.34,9.18,5.78,-1.26,0.74
Tuan Sing,T24,TSHS.SI,268.771,310.689,8.04,2.67,Real Estate,106,-10,-22.41,-32.84,-34.78,10.52,3.03,6.6,149.81,-7.56,0.39
Tung Lok Rest,540,TGLK.SI,38.416,80.576,,,Cyclical Consumer Services,63,-4.76,-6.67,-20,-15.15,-1.13,-6.56,7.21,15.82,-6.99,3.17
Tye Soon,BFU,TYES.SI,6.109,222.048,27.03,,Automobiles & Auto Parts,51,32.08,-33.96,-40.17,-48.15,0.13,0.43,1.17,149.91,2.75,0.17
UG Healthcare,41A,UGHE.SI,92.164,103.494,45.02,0.55,Healthcare Services,67,91.84,108.89,213.33,164.04,1.4,4.82,26.82,80.21,24.83,
UIC,U06,UICS.SI,3008.601,789.451,5.74,1.9,Real Estate,54,-7.08,-22.51,-28.08,-28.81,87.32,8.59,4.16,6.62,20.17,0.58
UMS,558,UMSH.SI,480.104,138.178,12.88,3.91,Technology Equipment,62,9.15,-0.56,-1.1,50.42,26.92,15.25,10.89,11.86,16.09,1.65
Uni-Asia Grp,CHJ,UAFC.SI,43.623,192.77,4.92,7.57,Real Estate,69,5.71,-15.27,-23.97,-26.97,4.86,4.63,0.79,142.03,10.33,0.32
Union Gas,1F2,UNIO.SI,58.37,78.801,6.93,3.53,Utilities,76,6.25,4.08,4.08,6.25,10.68,29.52,4.37,0,39.81,2.11
Union Steel,BLA,UNIS.SI,12.995,69.801,,,Mineral Resources,52,0,0,8.2,3.13,-6.85,-6.88,21.3,50.46,7.06,
United Food,AZR,UTDF.SI,7.892,6.06,,,Food & Beverages,32,2.44,2.44,-27.59,-61.82,-116.47,-12.78,,34.4,-60.01,0.54
United Global,43P,UNIT.SI,139.133,145.232,1.48,2.73,Energy - Fossil Fuels,72,-2.22,-7.37,-12,-10.2,64.94,95.14,1.45,20.01,-5.53,2.74
Universal Res,BGO,UNIV.SI,4.261,0.01,,,Energy - Fossil Fuels,41,,,,,-714990,-64.96,,0,-99.94,0.03
UnUsUaL,1D1,UNUS.SI,137.91,61.943,21.75,,Cyclical Consumer Services,51,-2.9,-29.1,-51.27,-56.07,10.24,11.31,16.73,7.54,8.8,6.42
UOA,EH5,UOS.AX,324.492,532.572,10.75,3.68,Real Estate,,-2.86,-15,-19.53,-1.45,26.29,6.05,2.2,8.81,-4.37,0.66
UOB,U11,UOBH.SI,32770.559,12556.828,7.68,5.64,Banking & Investment Services,111,-4.13,-20.34,-24.48,-18.38,41.7,10.99,6.88,83.04,12.72,1.08
UOB Kay Hian,U10,UOKH.SI,944.932,372.722,13.54,3.65,Banking & Investment Services,56,-4.17,-5.74,-7.26,-4.17,18.59,4.68,11.28,80.98,-0.6,0.65
UOI,U13,UOIS.SI,409.738,49.318,5.95,2.54,Insurance,86,0.45,-4.56,-4.56,-5.37,66.25,8.19,12.01,0.9,5.37,1.1
UOL,U14,UTOS.SI,5770.014,2283.341,12.05,2.56,Real Estate,74,0.15,-7.19,-11.86,0.15,29.73,4.87,6.64,48.95,-4.76,0.54
UOL  A,MKO,,,,,,,,,,,,,,,,,
USP Group,BRS,USPG.SI,6.819,38.695,,,Energy - Fossil Fuels,24,41.51,-37.5,-31.82,0,-1.5,-1.84,3.81,92.25,-14.06,0.12
UtdHampshReitUSD,ODBU,UNIE.SI,303.365,46.689,14.92,,Real Estate,,-2.38,,,,35.13,,,,,
Vallianz,WPC,VHLD.SI,34.121,260.514,,,Transportation,,10.91,-26.51,-27.38,-56.43,-74.92,-61.63,,110.69,-3.13,0.44
ValueMax,T6I,VAMG.SI,158.264,235.947,6.09,4.67,Banking & Investment Services,43,0,-8.06,-9.52,1.79,11.05,12.42,5.02,143.46,13.05,0.77
Valuetronics,BN2,VLUE.SI,280.982,507.435,7.3,5.71,Technology Equipment,60,0.78,2.38,-14,4.53,7.55,18.64,5.95,0,-2.69,1.62
Venture,V03,VENM.SI,4435.785,3633.431,12.21,4.58,Technology Equipment,77,-3.47,-6.99,-3.59,2.62,10,14.99,11.03,0.08,4.27,1.71
Versalink,40N,VERS.SI,20.115,15.255,,,Industrial & Commercial Services,59,0,0,0,33.04,-19.77,-14.29,,4.57,-19.88,0.94
Vibrant Group,BIP,VIBR.SI,78.869,131.236,2.93,3.54,Transportation,50,20.21,7.62,-8.87,-13.08,32.63,11.77,1.31,158.31,-53.34,0.47
VibroPower,BJD,VIBO.SI,6.765,11.027,,,Industrial Goods,47,6.96,3.36,15.96,6.3,-26.42,-18.98,,50.48,-28.97,0.24
VICOM,V01,VCOM.SI,699.385,103.703,24.62,4.87,Industrial & Commercial Services,101,-1.25,-0.25,3.82,19.73,27.85,20.14,19.27,0,3.64,3.48
Vicplas Intl,569,VICP.SI,57.875,90.232,9.28,4.39,Healthcare Services,51,14,8.57,18.75,29.55,6.83,10.67,5.54,16.23,25.29,0.76
Viking Offshore,557,VIKO.SI,4.427,22.16,,,Energy - Fossil Fuels,36,0,0,0,-20,-136.09,-155.04,,94.44,-20.06,0.19
Vividthree,OMK,VIVI.SI,16.701,10.223,5.18,,Cyclical Consumer Services,,-13.79,-39.76,-63.5,-71.43,31.57,13.28,4.46,0,58.49,3.68
Wee Hur,E3B,WHHL.SI,168.465,191.792,4.79,4.44,Industrial & Commercial Services,35,0,-14.29,-16.28,-14.29,18.21,9.13,3.09,49.56,-34.7,0.53
Willas-Array,BDR,0854.HK,144.852,,,11.76,Technology Equipment,73,-15,-11.92,-34.62,-48.48,,,,,,
Wilmar Intl,F34,WLIL.SI,25485.537,60434.406,14.04,3.14,Food & Beverages,91,11.48,0.25,-2.69,20.61,3.11,7.73,8.15,145.49,-4.17,0.9
Wilton Resources,5F7,WILT.SI,76.851,0.42,,,Mineral Resources,58,0,25,20,15.38,-6312.84,-147.61,,135.06,-49.07,4.59
Winas,5CN,WINA.SI,2.746,0,,,Industrial Goods,52,0,-50,-69.23,-56.67,,-2.37,,0,-100,0.06
Wing Tai,W05,WTHS.SI,1468.765,312.169,25.97,1.62,Real Estate,80,6.94,-5.13,-5.61,-8.42,20.18,1.78,18.17,22.95,-16.38,0.43
Wong Fong Ind,1A1,WONG.SI,32.9,54.537,14.52,2.71,Industrial Goods,68,12.9,-9.09,-20,-17.01,4.2,4.54,6.19,11.13,-3.4,0.78
World Class Gbl,1E6,WORL.SI,119.064,205.44,8.74,,Real Estate,67,8.33,-3.7,-13.33,-13.33,6.16,12.27,9.27,172.45,-53.52,1.65
World Precision,B49,WPML.SI,66,147.668,25.93,,Industrial Goods,56,-8.33,-5.71,-17.5,22.22,1.72,1.19,4.25,3.18,-20.21,0.26
XMH,BQF,XMHL.SI,8.016,76.491,,,Industrial Goods,58,0,-41.67,-51.72,-57.06,-6.45,-7.63,116.17,116.57,35.21,0.39
Y Ventures,1F1,YVEN.SI,17.454,35.004,,,Software & IT Services,28,22.58,-16.48,-29.63,-5,-6.84,-49.38,,85.51,37.77,10.33
Yamada Green Res,BJV,YAMR.SI,61.13,13.645,,,Food & Beverages,59,,,,,-26.97,-6.46,,3,-6.16,
Yanlord Land,Z25,YNLG.SI,2143.61,3702.861,3.2,,Real Estate,58,3.77,-5.17,-5.98,-9.09,27.79,12.58,2.01,166.73,-25,0.48
Yeo Hiap Seng,Y03,YHSS.SI,487.125,364.349,27.54,2.38,Food & Beverages,83,1.83,-1.71,-10.03,-6.57,4.86,2.83,14.6,0,4.51,0.77
YHI Intl,BPF,YHII.SI,90.612,448.207,6.99,7.16,Automobiles & Auto Parts,52,6.9,-3.13,-10.14,-11.43,2.85,5.09,2.96,33.01,-1.62,0.5
Yinda Infocomm,42F,YIND.SI,1.672,18.374,2.29,,Telecommunications Services,60,0,0,-26.67,-50,3.98,17.54,1.34,73.83,19.4,
Ying Li Intl,5DM,YING.SI,207.12,71.2,,,Real Estate,73,2.53,-19.8,-22.12,-42.14,-146.53,-15.35,,86,-51.53,0.39
Yoma Strategic,Z59,YOMA.SI,568.961,,,,Real Estate,102,28.79,-19.05,-28.17,-22.73,,,,67.66,,0.83
Yongmao,BKX,YNMH.SI,59.463,213.46,3.29,4.48,Industrial Goods,51,4.69,-27.17,-21.64,54.02,7.93,12.78,2.09,37.83,52.35,0.28
Yongnam,AXB,YNAM.SI,42.331,196.273,,,Industrial & Commercial Services,57,-4.71,-43.75,-46.36,-50.91,-27.87,-23.7,,55.19,21.57,0.39
Yorkshine,MR8,YORK.SI,94.575,33.509,,,Mineral Resources,40,,,,,138.67,,1.88,,1742.79,
Yunnan Energy,T43,1298.HK,501.295,311.473,,,Technology Equipment,43,-4.21,-33.33,-35.92,-20.87,-6.35,-6.82,,8.9,-51.14,3.13
YuuZoo Networks,AFC,YUUZ.SI,30.915,15.733,,,Software & IT Services,-12,,,,,-18.51,,21.96,,-4.17,
YZJ Shipbldg CNY,SO7,,,,,,,,,,,,,,,,,
YZJ Shipbldg SGD,BS6,YAZG.SI,3735.632,4126.733,6.95,4.79,Industrial Goods,68,-4.57,-0.53,-8.74,-31.88,13.79,8.58,5.66,16.19,-15.32,0.94
Zheneng Jinjiang,BWM,ZHEN.SI,625.231,758.338,20.39,,Industrial & Commercial Services,75,-8.51,-15.69,-28.33,-27.12,4.27,2.74,4.96,123.15,26.13,0.61
Zhongmin Baihui,5SR,ZBRG.SI,124.663,208.475,11.77,4.72,Retailers,59,0,7.63,4.96,-14.19,4.97,27.5,4.83,0,8.68,
Zhongxin Fruit,5EG,ZHON.SI,5.277,38.287,3.7,,Food & Beverages,50,-28.57,-28.57,-28.57,66.67,3.72,8.72,3.22,73.32,66.21,
ZICO Hldgs,40W,ZICO.SI,41.698,25.371,,,Banking & Investment Services,60,-12.41,-14.19,10.43,-10.56,-10.09,-6.73,33.09,51.71,-13.61,1.16